Name,Disc. Date,mmax,Host Name,R.A.,Dec.,z,Type,Phot.,Spec.
SN2005bb,4/1/05,18,UGC 8067,"12:57:11.87,12:57:11.76,12:57:11.870","-01:42:17.4,-01:42:17.28,-01:42:17.39","0.00913,0.00913",II,1,1
SN2005bk,4/2/05,17.9,MCG +07-33-27,"16:02:17.04,16:02:17.040","+42:54:55.3,+42:54:55.44,+42:54:55.30","0.02445,0.025",Ic,1,1
SN2005bh,4/10/05,17.3,UGC 6495,"11:29:44.00,11:29:43.999","+22:07:39.1,+22:07:39.11","0.022,0.022",Ic,1,6
SN2005bq,4/17/05,18.3,IC 4367,"14:05:37.05,14:05:37.051","-39:12:04.4,-39:12:04.39",0.014,Ic,1,
SN2005cb,5/13/05,15.8,NGC 6753,"19:11:21.95,19:11:21.950","-57:02:27.4,-57:02:27.38",0.0105,Ic,1,1
SN2005ce,5/28/05,18.6,IC 5233,"22:36:32.96,22:36:32.959","+25:45:35.0,+25:45:34.99",0.024617,Ib/c,1,1
SN2005nc,5/30/05,23.96,A183232+2620,"18:32:32.58,18:32:32.580,18:32:34.08","+26:20:22.6,+26:20:22.60,+26:20:06","0.606,0.61,0.606,0.61",Ic,1,
SN2005ct,7/1/05,17.3,NGC 207,"00:39:40.50,00:39:40.500","-14:14:16.6,-14:14:16.58","0.013,0.013",Ic,1,3
SN2005cy,7/15/05,17.8,UGC 11241,"18:26:49.11,18:26:49.111,18:26:48.850,18:26:48.96,18:26:48.85","+51:08:30.4,+51:08:30.41,+51:08:25.69,+51:08:25.8,+51:08:25.7",0.0331,II,15,1
SN2005cz,7/17/05,16,NGC 4589,"12:37:27.85,12:37:27.850","+74:11:24.5,+74:11:24.50","0.0067,0.0067",Ib,1,1
SN2005dg,8/5/05,16.1,ESO 420-G3,"04:07:46.25,04:07:46.250","-29:51:28.1,-29:51:28.12",0.014,Ic,1,
SDSS-II SN 2234,9/3/05,21.43,SDSS J11428.01-005054.7,"01:14:27.696,01:14:27.648","-00:50:59.0928,-00:50:59.1252",0.081665,Ib/c,14,
SN2005fk,9/12/05,21.26,SDSS J11520.09-002300.4,"21:15:19.84,21:15:19.92,21:15:19.83,21:15:19.831","-00:22:58.6,-00:22:58.62,-00:22:58.5948,-00:22:58.7676,-00:22:58.58",0.233613,Ic BL,13,
SN2005im,9/21/05,20.64,SDSS J03602.82+005006.8,"00:36:02.88,00:36:02.8704,00:36:02.81,00:36:02.8584,00:36:02.87,00:36:02.870","-00:50:06.0,+00:50:05.928,+00:50:06.7,+00:50:05.6616,+00:50:06.0,+00:50:06.00",0.120282,Ib/c,10,
SN2005em,9/27/05,17.12,SDSS J31347.69-001436.6,"03:13:47.74,03:13:47.712,03:13:47.736,03:13:47.71,03:13:47.710","-00:14:37.0,-00:14:36.96,-00:14:37.0284,-00:14:37.3344,-00:14:37.00","0.02517,0.0252",Ic Pec,177,1
SDSS-II SN 6367,10/1/05,21.23,SDSS J02538.01-005145.0,"20:25:37.92,20:25:37.68","-00:51:42.1848,-00:51:42.5484",,Ib/c,17,
SDSS-II SN 4808,10/1/05,21.75,SDSS J22016.64+002440.3,"02:20:16.653,02:20:16.656","+00:24:41.18,+00:24:41.159,+00:24:40.903",0.34916,Ib/c,10,
SDSS-II SN 6813,10/12/05,22.47,SDSS J14904.87+000325.5,"01:49:04.872,01:49:04.848","+00:03:26,+00:03:25.53,+00:03:25.15",0.286137,Ib/c,1,
SDSS-II SN 9194,10/21/05,21.8,SDSS J00730.58-004815.7,"00:07:32.9568,00:07:32.9592,00:07:32.9472","-00:47:49.074,-00:47:49.0884,-00:47:49.4124",0.073431,Ib/c,16,
SDSS-II SN 7923,10/23/05,21.48,SDSS J22802.32-010135.8,"02:28:02.376,02:28:02.352","-01:01:35.184,-01:01:35.544",,Ib/c,17,
SDSS-II SN 8196,10/30/05,20.66,SDSS J21210.42-005446.2,12:10.3,"-00:54:41.508,-00:54:41.7816",0.080016,Ib/c,19,
SDSS-II SN 11305,11/12/05,21.14,SDSS J15804.67-003417.1,"01:58:04.656,01:58:04.632","-00:34:16.662,-00:34:16.6548,-00:34:16.9932","0.184,0.169",Ib/c,11,
SDSS-II SN 11241,11/19/05,20.27,SDSS J15314.79-000619.8,"01:53:14.808,01:53:14.784","-00:06:19.8612,-00:06:20.196",0.089238,Ib/c,10,
SN2005mn,11/23/05,19.66,SDSS J34918.34-004129.4,"03:49:18.44,03:49:18.432,03:49:18.408,03:49:18.439","-00:41:31.5,-00:41:31.56,-00:41:31.452,-00:41:31.4196,-00:41:31.6788,-00:41:31.4,-00:41:31.42",0.047368,Ib,12,
SN2005nb,12/17/05,17.04,UGC 7230,"12:13:37.61,12:13:37.610","+16:07:16.2,+16:07:16.21",0.024,Ic BL,122,1
SN2005mf,12/25/05,16.8,UGC 4798,"09:08:42.33,09:08:42.24,09:08:42.329,09:08:42.97","+44:48:51.4,+44:48:51.48,+44:48:51.41,+44:48:46.0","0.02675,0.027",Ic,216,6
SN2006G,1/13/06,17,NGC 521,"01:24:35.83,01:24:35.830","+01:43:15.8,+01:43:15.82",0.0167,II/IIb,1,
SN2006P,1/23/06,17.4,MCG -02-09-29,"03:19:17.90,03:19:17.899","-12:06:18.3,-12:06:18.29",0.015,Ic,1,1
SN2006ab,2/9/06,17.76,PGC 10652,"02:48:53.92,02:48:53.921","+53:02:20.8,+53:02:20.80",0.017,Ic,12,1
SN2006ba,3/19/06,16.81,NGC 2980,"09:43:13.40,09:43:13.399","-09:36:53.0,-09:36:52.99","0.019,0.019",II,129,1
SN2006bf,3/27/06,17.34,UGC 8093,"12:58:50.68,12:58:50.681","+09:39:30.1,+09:39:30.10","0.024,0.024",IIb,109,1
SN2006cb,5/5/06,17.5,NGC 5541,"14:16:31.80,14:16:31.800","+39:35:15.9,+39:35:15.90",0.026,Ib,18,
PSN J14393321+0546366,5/20/06,18.9,,39:33.2,+05:46:36.6,,Ib Pec,1,
SN2006dj,6/5/06,18.9,UGC 12287,"22:59:22.89,22:59:22.891","+53:44:09.8,+53:44:09.82",0.018,Ib,1,
SN2006dg,6/17/06,18.5,IC 1508,"23:45:54.38,23:45:54.379","+12:03:59.0,+12:03:59.00",0.014,Ic,1,1
SN2006dk,6/25/06,15.7,NGC 4161,"12:11:34.35,12:11:34.349","+57:44:26.3,+57:44:26.30","0.016,0.016",II,1,
SN2006dl,6/29/06,18,MCG +04-31-05,"13:05:16.73,13:05:16.730","+25:57:27.8,+25:57:27.79",0.022,II,1,
SN2006dn,7/5/06,16.78,UGC 12188,"22:47:37.84,22:47:37.841,22:47:37.560,22:47:37.68,22:47:37.62,22:47:37.44","+39:52:46.8,+39:52:46.81,+39:52:50.16,+39:52:50.2",0.017062,Ib,71,
SN2006ea,7/25/06,18.8,UGC 12134,"22:39:37.91,22:39:37.910","+11:46:16.0,+11:46:16.00",0.024,Ib,1,2
SN2006ec,8/4/06,16.7,MCG -04-55-14,"23:38:12.46,23:38:12.461","-20:46:48.6,-20:46:48.79",0.026,Ib,1,1
SN2006ei,8/21/06,16.3,NGC 735,"01:56:37.15,01:56:37.150","+34:10:37.4,+34:10:37.42",0.015,Ic,1,2
SN2006el,8/25/06,17.44,UGC 12188,"22:47:38.50,22:47:38.501","+39:52:27.6,+39:52:27.59","0.017,0.017",IIb,142,9
SDSS-II SN 13269,8/27/06,21.84,,43:20.2,"-00:57:49.536,-00:57:49.6656",,Ib/c,16,
SDSS-II SN 14177,9/15/06,21.99,SDSS J23022.18+003058.7,30:22.1,"+00:30:59.15,+00:30:59.17,+00:30:58.892",0.293703,Ib/c,11,
SDSS-II SN 14169,9/16/06,20.96,SDSS J14450.97+005917.8,44:51.1,"+00:59:16.84,+00:59:16.793,+00:59:16.501",0.343067,Ib/c,15,
SDSS-II SN 13458,9/16/06,21.59,SDSS J10550.91-001458.3,"01:05:51.198,01:05:51.192,01:05:51.168","-00:15:01.69,-00:15:01.692,-00:15:01.6776,-00:15:01.9944",0.318989,Ib/c,11,
SN2006gi,9/18/06,15.63,NGC 3147,"10:16:46.76,10:16:46.759","+73:26:26.4,+73:26:26.41","0.0094,0.0094",Ib,158,1
SN2006ip,9/21/06,18.6,A234831-0208,"23:48:31.68,23:48:31.680","-02:08:57.3,-02:08:57.30","0.03,0.03",Ib/c,1,
SN2006ir,9/23/06,16.23,A230435+0736,"23:04:35.68,23:04:35.681","+07:36:21.5,+07:36:21.49","0.02,0.02",Ic,146,1
SDSS-II SN 14419,9/29/06,20.46,SDSS J15730.56+010950.6,"01:57:30.528,01:57:30.504","+01:09:50.256,+01:09:50.4,+01:09:49.968",0.134019,Ib/c,11,
SDSS-II SN 17107,10/4/06,22.33,SDSS J20611.13-010708.3,06:11.1,"-01:07:08.292,-01:07:07.644",0.19423,Ib/c,1,
SN2006iv,10/5/06,15.9,UGC 6774,"11:48:12.35,11:48:12.48,11:48:12.350","+54:59:14.6,+54:59:14.64,+54:59:14.60","0.0081,0.008",IIb,1,1
SN2006lt,10/11/06,19.1,A021659+3041,"02:16:59.89,02:16:59.890","+30:41:57.4,+30:41:57.41","0.015,0.015",Ib,1,
SDSS-II SN 15803,10/12/06,22.57,SDSS J11305.00-004018.4,"01:13:04.996,01:13:04.992","-00:40:18.41,-00:40:18.408,-00:40:18.3612,-00:40:18.9192",0.429323,Ib/c,1,
SN2006ld,10/19/06,15.13,UGC 348,"00:35:27.81,00:35:27.811","+02:55:50.7,+02:55:50.70",0.0139,Ib,173,7
SN2006lc,10/21/06,16.28,SDSS J24424.36-000943.4,"22:44:24.48,22:44:24.451,22:44:24.45","-00:09:53.5,-00:09:53.532,-00:09:53.514,-00:09:54.1404,-00:09:53.89,-00:09:53.9",0.016104,Ib,159,8
SDSS-II SN 16160,10/28/06,21.78,SDSS J13903.41-005710.4,"01:39:03.493,01:39:03.504,01:39:03.48","-00:57:08.77,-00:57:08.766,-00:57:08.8596,-00:57:09.0972",0.320367,Ib/c,11,
SN2006li,10/28/06,19.4,UGC 3664,"07:05:33.33,07:05:33.329","+33:50:01.3,+33:50:01.28",0.029,Ib,1,
SDSS-II SN 16452,10/29/06,22.32,SDSS J13013.66-001653.5,30:13.7,"-00:16:53.3532,-00:16:53.7096",0.206111,Ib/c,1,
SDSS-II SN 15946,11/8/06,20.84,SDSS J34045.19+003756.2,40:45.1,"+00:37:56.147,+00:37:56.179,+00:37:55.816",0.375137,Ib/c,1,
SDSS-II SN 16768,11/9/06,21.28,SDSS J13048.44+004133.3,"21:30:48.13,21:30:48.24","+00:41:34.2,+00:41:34.19,+00:41:34.321",0.168949,Ib/c,15,
SDSS-II SN 16976,11/13/06,20.56,SDSS J15510.84-002443.3,55:10.8,"-00:24:43.128,-00:24:43.1532,-00:24:43.4412",0.0607,Ib/c,17,
SDSS-II SN 13979,11/13/06,21.75,SDSS J32528.05+010831.8,25:28.0,"+01:08:31.668,+01:08:31.272",,Ib/c,1,
SN2006sg,11/14/06,21.87,A020813-0346,"02:08:13.041,02:08:13.04,02:08:13.039","-03:46:21.93,-03:46:21.9,-03:46:21.90,-03:46:21.937","0.4441,0.4451",Ia,18,1
SN2006qk,11/22/06,21.2,SDSS J22532.38+000914.9,"22:25:32.39,22:25:32.4,22:25:32.38,22:25:32.381","+00:09:14.9,+00:09:15.1,+00:09:15.08,+00:09:15.098,+00:09:14.897","0.05831,0.05836",Ib,1,2
SN2006qp,11/25/06,17.5,NGC 5735,"14:42:30.65,14:42:30.650","+28:43:25.9,+28:43:25.90","0.012,0.012",IIb,1,1
SN2006ss,12/17/06,17.6,NGC 5579,"14:20:27.46,14:20:27.36,14:20:27.461","+35:11:42.7,+35:11:42.72,+35:11:42.68","0.012,0.012",II,1,2
SN2006tq,12/17/06,22.1,A021000-0406,"02:10:00.698,02:10:00.70,02:10:00.701,02:10:00.697","-04:06:00.91,-04:06:00.9,-04:06:00.90,-04:06:00.903",0.2622,Ib Pec,1,2
SN2007G,1/9/07,16.4,UGC 68,08:09.8,+27:00:11.4,0.029,II,1,
SN2007I,1/14/07,16.08,A115913-0136,"11:59:13.15,11:59:13.2,11:59:13.150","-01:36:18.9,-01:36:19.08,-01:36:18.90",0.021638,Ic BL,183,7
SN2007az,3/6/07,19,A082523+6954,"08:25:23.80,08:25:23.801","+69:54:29.4,+69:54:29.41",0.0347,Ib,1,1
SN2007ay,3/22/07,17.1,UGC 4310,"08:17:14.85,08:17:14.851","+01:12:06.9,+01:12:06.91",0.015,IIb,19,1
SN2007aw,3/22/07,17.41,NGC 3072,"09:57:24.16,09:57:24.161","-19:21:23.1,-19:21:23.11",0.0114,Ic,15,
SN2007br,4/4/07,19.5,A111539-0422,"11:15:39.93,11:15:39.931","-04:22:47.8,-04:22:47.78","0.05,0.05",Ib,1,
SN2007db,4/4/07,18.3,A111710-0611,"11:17:10.30,11:17:10.301","-06:11:48.6,-06:11:48.59","0.06,0.06",Ic,1,
SN2007bi,4/6/07,17.53,A131920+0855,"13:19:20.19,13:19:20.190,13:19:20.191","+08:55:44.3,+08:55:44.33,+08:55:44.29",0.1279,SLSN-I,135,4
SN2007ce,5/4/07,16.53,A121017+4843,"12:10:17.96,12:10:17.959","+48:43:31.5,+48:43:31.51","0.046,0.046",Ic BL,81,11
SN2007dy,5/13/07,19.6,A212203+0509,"21:22:03.43,21:22:03.430","+05:09:06.1,+05:09:06.08","0.04,0.04",Ib,1,
SN2007ea,5/17/07,18.2,A155346-2702,"15:53:46.27,15:53:46.270","-27:02:15.5,-27:02:15.50","0.04,0.04",Ic,1,
SN2007eb,5/17/07,18.2,A224248+2402,"22:42:48.98,22:42:48.979","+24:02:47.2,+24:02:47.18","0.04,0.04",Ib/c,1,
SN2007cl,5/23/07,17.58,NGC 6479,"17:48:21.19,17:48:21.190","+54:09:05.2,+54:09:05.18",0.0222,Ic,81,6
SN2007eq,6/13/07,18.9,A234805+2814,"23:48:05.93,23:48:05.930","+28:14:20.2,+28:14:20.18","0.03,0.03",Ib/c,1,
SN2007ff,6/30/07,19.8,A012410+0900,"01:24:10.24,01:24:10.241","+09:00:40.5,+09:00:40.50","0.05,0.05",Ib/c,1,
SN2007fj,7/6/07,18.8,A221425-2811,"22:14:25.37,22:14:25.370","-28:11:53.9,-28:11:53.92","0.06,0.06",Ib/c,1,
SN2007fn,7/8/07,18,MCG +05-06-51,"02:29:28.36,02:29:28.361","+31:28:33.0,+31:28:32.99","0.017,0.017",Ib,1,1
SN2007fo,7/9/07,18.2,NGC 7714,"23:36:13.98,23:36:13.980","+02:09:30.4,+02:09:30.38","0.0093,0.0093",Ib,1,2
SN2007gg,7/28/07,19.1,A025222+1631,"02:52:22.68,02:52:22.680","+16:31:40.3,+16:31:40.30","0.04,0.04",Ib/c,1,
SN2007go,8/7/07,18.7,ESO 475-G16,"01:18:44.22,01:18:44.220","-23:56:47.8,-23:56:47.80",0.0235,Ib,1,1
SN2007gx,8/9/07,19.9,A171851+2247,"17:18:51.49,17:18:51.490","+22:47:16.6,+22:47:16.58","0.08,0.08",Ic,1,
SN2007hl,8/31/07,19.5,A205007-0158,"20:50:07.76,20:50:07.759","-01:58:36.4,-01:58:36.41","0.06,0.06",Ib/c,1,
SDSS-II SN 17897,9/3/07,21.26,SDSS J30709.76-001239.6,07:09.8,"-00:12:39.1104,-00:12:39.5352",,Ib/c,17,
SN2007iq,9/12/07,17.5,UGC 3416,"06:13:32.33,06:13:32.330","+69:43:49.2,+69:43:49.19",0.0133,Ic/Ic-BL,146,2
SDSS-II SN 18884,9/30/07,21.05,,"21:45:03.130,21:45:03.12","-00:56:59.68,-00:56:59.856,-00:56:59.676,-00:56:59.5176,-00:56:59.8416","0.155,0.54",Ib/c,18,
SN2007kj,10/2/07,16.98,NGC 7803,"00:01:19.58,00:01:19.579","+13:06:30.6,+13:06:30.60",0.0179,Ib,182,4
SDSS-II SN 19793,10/8/07,20.5,SDSS J34318.27+001526.0,43:18.2,"+00:15:25.67,+00:15:25.693,+00:15:25.31",0.38694,Ib/c,10,
SN2007nm,10/8/07,19.1,A224527+1039,"22:45:27.41,22:45:27.42,22:45:27.420","+10:39:32.7,+10:39:32.69","0.046,0.046",Ic,1,1
SDSS-II SN 20301,10/13/07,20.7,SDSS J23100.34+002129.7,"02:31:00.36,02:31:00.336","+00:21:29.725,+00:21:29.441",,Ib/c,17,
SDSS-II SN 19987,10/18/07,21.27,,"01:04:10.778,01:04:10.752,01:04:10.776","-00:19:35.15,-00:19:35.472,-00:19:35.148,-00:19:35.1444,-00:19:35.4612","0.255,0.396",Ib/c,16,
SDSS-II SN 19772,10/20/07,20.57,SDSS J05039.90-010231.2,"00:50:39.904,00:50:39.936,00:50:39.912","-01:02:31.22,-01:02:30.588,-01:02:30.552,-01:02:30.948",0.175149,Ib/c,11,
SN2007rb,10/26/07,17.3,NGC 2889,"09:27:11.58,09:27:11.580","-11:38:17.7,-11:38:17.70",0.0111,Ib/c,1,
SDSS-II SN 21046,10/30/07,21.29,SDSS J13405.74+010643.4,"21:34:05.751,21:34:05.76","+01:06:44.68,+01:06:44.676,+01:06:44.784,+01:06:44.388",0.42774,Ib/c,13,
SDSS-II SN 20682,10/31/07,20.99,SDSS J02126.57+010845.2,"00:21:26.5632,00:21:26.5608","+01:08:45.708,+01:08:45.456",,Ib/c,13,
SN2007qw,11/4/07,19.92,SDSS J23529.00+002856.0,"22:35:29.04,22:35:29.01,22:35:29.011","+00:28:56.201,+00:28:56.2,+00:28:55.902,+00:28:56.21",0.150654,Ib,18,
SDSS-II SN 20874,11/4/07,20.87,SDSS J32055.78+003029.2,20:55.7,"+00:30:29.254,+00:30:28.991",0.130635,Ib/c,16,
SDSS-II SN 20536,11/4/07,21.72,SDSS J05633.92-002316.2,56:33.8,"-00:23:16.332,-00:23:16.3392,-00:23:16.5876","0.686,0.531",Ib/c,1,
SN2007pl,11/5/07,15.4,ESO 205-G18,"06:05:10.73,06:05:10.80,06:05:10.800","-49:17:59.2,-49:17:59.1,-49:17:59.10,-49:17:59.06",0.0288,Ia,1,
SN2007tx,11/5/07,22.5,A022833-0835,"02:28:33.31,02:28:33.313,02:28:33.314","-08:35:25.7,-08:35:25.70,-08:35:25.690",0.6764,Ic,1,1
SN2007ru,11/27/07,15.22,UGC 12381,"23:07:23.19,23:07:23.141","+43:35:34.1,+43:35:33.68",0.0155,Ic BL,159,5
SN2007rw,11/29/07,14.3,UGC 7798,"12:38:03.64,12:38:03.641","-02:15:40.1,-02:15:40.10",0.0086,II,1,4
SN2007rz,12/8/07,16.2,NGC 1590,"04:31:10.84,04:31:10.841","+07:37:51.5,+07:37:51.49","0.013,0.013",Ic,121,2
SN2008V,2/6/08,16.8,NGC 1591,29:31.3,-26:42:39.8,0.0137,II,1,
SN2008an,2/24/08,17.3,UGC 10936,38:28.2,+61:02:13.7,0.0271,Ic,13,3
SN2008ao,2/26/08,17.4,A030746+3822,07:46.7,+38:22:06.2,0.0149,Ic,1,2
SN2008ay,3/5/08,18.8,UGC 8050,55:26.4,+52:16:15.5,0.0347,IIb,1,1
SNF20080324-000,3/24/08,19.9,,37:43.4,+27:54:50.3,,Ib,1,
SNF20080324-001,3/24/08,18.8,,23:02.5,+51:52:31.2,,Ic,1,
SN2008dc,4/6/08,18.1,A164729+0918,47:29.5,+09:18:25.8,"0.02,0.02",Ib/c,1,
SN2008bs,4/8/08,18.6,UGC 4085,55:18.9,+53:19:43.4,0.0244,Ib,1,1
SN2008bt,4/13/08,15.2,NGC 3404,"10:50:16.99,10:50:16.88","-12:06:31.5,-12:06:32.0",0.01536,Ia,1,2
SNF20080512-003,5/12/08,18.3,,58:56.4,+36:31:20.0,,Ic,1,
SN2008cx,6/5/08,17.8,NGC 309,"00:56:45.90,00:56:45.9",-09:54:19.0,0.0189,IIb,1,1
SNF20080610-004,6/10/08,19.6,,28:42.0,-00:41:13.2,,Ib,1,
SN2008dq,6/25/08,18.3,UGC 10214,06:03.1,+55:25:37.4,0.0314,Ic,1,2
SNF20080629-000,6/29/08,19.6,,08:08.5,+27:57:54.8,,Ib/c,1,
SN2008du,6/30/08,18.3,NGC 7422,56:11.8,+03:55:35.4,"0.016,0.016",Ic,1,1
SN2008dv,7/1/08,18.3,NGC 1343,37:51.4,+72:34:21.8,"0.0074,0.0074",Ic,1,1
SNF20080703-002,7/3/08,18.6,,02:31.9,-24:11:17.0,,Ib,1,
SN2008eb,7/7/08,17.1,NGC 6574,11:52.2,+14:58:50.6,"0.0076,0.0076",Ib,1,2
SNF20080719-004,7/19/08,19,,28:48.2,+03:25:56.6,,Ib/c,1,
SN2008em,7/31/08,18.5,MCG -04-53-33,44:37.7,"-21:54:35.2,-21:44:35.2",0.0333,Ic,1,1
SN2008fn,8/4/08,16.8,A162148+3703,21:48.5,+37:03:41.0,0.0298,Ib/c,1,
SN2008fo,8/7/08,17.6,A164012+3943,40:12.5,+39:43:55.8,0.027,Ic,1,
SN2008ew,8/10/08,17,IC 1236,58:28.9,+20:02:38.0,0.02,Ic,1,4
SN2008fi,8/26/08,16.7,A015323+2921,53:23.2,+29:21:28.4,,IIb,1,3
SN2008fd,8/27/08,15.7,ESO 466-G24,58:09.2,-27:23:17.1,0.0181,Ib,1,1
SN2008fh,8/30/08,18,A032018+4121,20:18.6,+41:21:44.0,"0.01,0.01",Ia,1,
SN2008fs,9/21/08,18.2,A010905+1445,09:05.7,+14:45:16.9,"0.039,0.039",Ib,1,1
SN2008fz,9/22/08,16.5,A231616+1142,16:16.6,+11:42:47.5,"0.133,0.13,0.133",IIn,1,
SN2008hw,10/7/08,17,A223950-4008,"22:39:50.39,22:39:50.58","-40:08:49.1,-40:08:48.3","0.53,0.53",Ic,1,
SN2008gj,10/19/08,17.8,NGC 7321,36:28.6,+21:37:55.3,0.0238,Ic,1,2
SN2008gk,10/20/08,17.7,A185304+3845,53:04.5,+38:45:44.4,,Ib/Ic,1,1
SN2008gm,10/22/08,15.65,NGC 7530,14:12.4,-02:46:52.4,0.0117,IIn,16,1
SN2008iu,10/30/08,18.1,A043655-0021,36:55.2,-00:21:35.6,,Ic,1,
SN2008gx,11/4/08,17.2,NGC 3144,15:32.9,+74:12:59.1,0.0215,II,1,
SN2008hl,11/20/08,18.8,NGC 7451,00:40.4,+08:27:55.5,0.0222,Ib/c?,1,
SN2008ht,11/23/08,17.2,UGC 5002,24:23.5,+28:17:43.2,0.0217,Ib,1,1
SN2008hn,11/25/08,19,NGC 2545,14:14.3,+21:21:37.9,0.0113,Ib,1,1
SN2008ie,12/15/08,16.4,NGC 1070,43:20.8,+04:58:19.1,0.0136,IIb,1,1
SN2008ik,12/17/08,17.6,A033609-3513,"03:36:09.68,03:36:09.54",-35:13:00.7,0.0646,Ic,1,
SN2008im,12/26/08,17.2,UGC 2906,"04:01:02.11,04:01:02.15","+74:05:49.1,+74:05:48.5","0.0083,0.0083",Ib,1,1
SN2009C,1/2/09,17.9,UGC 12433,13:42.8,+49:40:47.2,,IIb,1,1
SN2009de,1/2/09,18.8,A130037+1750,00:37.5,+17:50:57.0,"0.14,0.14",Ic,1,
SN2009K,1/14/09,14.81,NGC 1620,36:36.8,-00:08:35.6,0.0117,II,177,
SN2009Z,2/2/09,16.59,A140153-0120,01:53.6,-01:20:30.2,,II,142,
SN2009ah,2/19/09,16.1,ESO 171-G4,59:12.1,-53:24:06.5,0.0144,II,1,
SN2009ar,2/19/09,18.5,A095526-0128,55:25.7,-01:28:21.3,"0.026,0.026",II,1,
SN2009cf,3/2/09,20.7,A145337+1821,53:37.3,+18:21:08.3,"0.09,0.09",Ib,1,
SN2009ap,3/5/09,16.9,ESO 138-G27,26:43.2,-59:55:57.9,0.0208,Ic,1,
SN2009bh,3/17/09,19.6,A122450+0825,"12:24:50.16,12:24:50.17",+08:25:57.6,"0.09,0.09",Ic,1,1
SN2009di,3/21/09,18.6,A113657+4500,36:57.9,+45:00:50.7,"0.13,0.13",Ic,1,
SN2009ef,3/23/09,21.8,A151912+0621,19:12.6,+06:21:29.2,"0.18,0.18",Ib,1,
SN2009dr,4/17/09,18.5,A144442+4943,44:42.1,+49:43:44.9,"0.1,0.1",Ic BL,1,
SN2009dq,4/24/09,14.5,IC 2554,08:49.9,-67:01:57.3,"0.0046,0.0047",II,1,
SN2009fi,5/30/09,16.6,PGC 50294,06:05.8,+11:47:13.9,0.0161,II,1,
SN2009fl,5/30/09,17.6,NGC 6146,25:10.1,+40:53:20.8,0.0294,Ia,1,2
SN2009fz,6/8/09,16.4,NGC 6209,54:48.4,-72:34:56.0,0.0196,II,1,
SN2009gd,6/9/09,16.4,NGC 5967,48:22.8,-75:40:47.8,"0.0096,0.0096",Ic,1,
SN2009ki,6/14/09,21,A161408+5541,14:08.6,+55:41:41.9,"0.107,0.11,0.106",Ic,1,
SN2009gi,6/17/09,17.7,A191019+1933,10:19.1,+19:33:34.6,"0.013,0.013",Ib,1,3
SN2009gj,6/20/09,14,NGC 134,"00:30:28.56,00:30:28.54","-33:12:56.0,-33:12:56.2","0.0053,0.0053",IIb,15,
SN2009gk,6/23/09,18.3,UGC 11803,44:27.3,+14:53:57.3,0.0265,IIb,1,2
SN2009gl,6/23/09,18.1,IC 900,34:43.7,+09:20:10.7,0.0236,Ib,1,1
SN2009hu,6/25/09,22.6,A145329+1835,53:29.8,+18:35:31.1,"0.13,0.13",Ib,1,
SN2009ha,7/2/09,16.3,MCG -01-07-24,36:58.2,-05:20:43.2,0.0147,Ib,1,1
SN2009hh,7/10/09,16,NGC 1301,20:34.7,-18:42:54.4,0.0132,Ic,1,
PTF09atu,7/14/09,19.91,,"16:30:24.55,16:30:24.553","+23:38:25.0,+23:38:25.43",0.5015,SLSN-I,113,9
SN2009hm,7/17/09,14.7,NGC 7083,"21:35:44.32,21:35:44.44","-63:54:23.2,-63:54:23.6",0.0103,Ib,1,
SN2009hy,8/2/09,18.2,NGC 7244,16:27.0,+16:28:13.0,0.0252,Ic,1,1
SN2009if,8/18/09,17.6,IC 2070,24:36.7,-57:59:06.8,0.0234,Ib/c,1,
SN2009je,9/17/09,17.8,UGC 3312,28:40.1,+22:06:46.4,"0.019,0.019",Ic,1,
SN2009jf,9/27/09,14.3,NGC 7479,04:53.0,+12:19:59.5,0.0079,Ib,331,51
SN2009jy,10/14/09,17.2,NGC 3208,19:39.2,-25:49:21.9,"0.012,0.0097",Ic,1,
SN2009jv,10/16/09,17.2,UGC 5157,40:57.8,+47:37:04.0,0.0161,IIb,1,2
SN2009jx,10/17/09,17.3,UGC 11695,12:09.8,-01:28:32.5,0.0323,II,1,
SN2009ka,10/18/09,17,A211737+2600,17:35.8,+26:01:12.0,,IIb,1,2
SN2009ny,10/20/09,18.2,A221123-0912,11:23.6,-09:12:44.4,0.057,Ib,1,
SN2009nl,10/23/09,18.7,A033947-1113,39:47.8,-11:13:25.0,,Ic,1,
SN2009nf,11/11/09,19.8,A015856-0716,58:57.0,-07:16:58.3,,II,1,
SN2009lj,11/13/09,18.8,NGC 1233,12:32.5,+39:18:42.0,0.0146,IIb/Ib/Ic,1,1
SN2009lw,11/24/09,18.4,NGC 931,28:12.1,+31:18:46.3,0.0167,IIb/Ib/Ic,1,1
SN2009nh,11/26/09,19.3,A091059+1536,10:59.0,+15:36:41.1,,Ic,1,
SN2009nz,11/27/09,21.6,A022619-1857,"02:26:19.9,02:26:19.90,02:26:19.44","-18:57:09,-18:57:09.0,-18:56:52.8","0.49,0.49",Ic BL,1,
SN2009np,12/15/09,17.3,A122707+0625,27:06.6,+06:25:33.3,0.026,Ic,1,2
SN2009mu,12/21/09,18.3,ESO 374-G3,51:57.7,-33:04:42.4,"0.0098,0.0098",II,1,
PTF10bfz,1/1/10,18.49,,"12:54:41.27,12:54:41.288","+15:24:17.0,+15:24:17.08","0.1701,0.1699",SLSN-I,61,6
